Country/Region,Lat,Long
OSM location of Borgo Medievale,42.082885,13.4119837
OSM location of Tempio Grande,42.4193742,11.6285463
DARMC location 20192,39.460299,-3.606772
Barrington Atlas location,38.5,-1.5
DARMC location 19495,37.241792,-2.403309
DARMC location 963,38.842795,0.107511
DARMC location 19770,37.463838,-3.924959
DARMC location 20235,38.908393,1.432146
Imagery location of modern Ibiza island,38.98,1.43
DARMC location 20237,38.640276,-3.362253
DARMC location 20238,39.624587,-0.594758
Barrington Atlas location,39.5,-0.5
DARMC location 20247,38.447444,-2.04839
DARMC location 20249,37.671353,-1.698809
DARMC location 20255,38.026033,-4.381896
OSM location,40.0787678,0.1354228
OSM location of Roman villa,36.7266472,-3.9576942
OSM location,38.7335902,0.2303287
DARMC location 20263,37.599034,-1.313677
DARMC location 20565,38.208848,-1.143263
DARMC location 20268,37.727146,-3.047757
DARMC location 20876,40.448617,-2.339264
DARMC location 20877,38.182964,-3.275718
DARMC location 20878,37.474391,-4.425933
DARMC location 20287,38.122254,-3.483153
DARMC location 30293,39.339079,3.050936
DARMC location 19508,37.128828,-3.605316
DARMC location 29780,40.002343,3.839243
Barrington Atlas location,38.5,-0.5
DARMC location 20316,37.474155,-4.425943
DARMC location 20318,40.231686,0.073556
DARMC location 20321,37.176484,-3.597934
Center point of visible remains - Ilici,38.2396,-0.6953
GeoNames location of Bahía de Alicante,38.3,-0.45
DARMC location 20326,37.968343,-3.80883
DARMC location 19781,37.511643,-4.148005
DARMC location 19782,38.184959,-0.614465
DARMC location 19783,38.081834,-1.254941
DARMC location 20327,38.476254,-1.606091
DARMC location 20328,38.247458,-3.206444
DARMC location 20331,37.267154,-3.767231
DARMC location 20334,39.440732,-1.749431
DARMC location 20337,37.443593,-4.273434
OSM location of Cerro de Minguillar,37.5966266,-4.3084564
DARMC location 20339,37.67242,-4.39041
DARMC location 19788,37.755932,-4.377602
DARMC location 20347,38.026896,-3.983804
DARE Location,38.033538,-4.061071
DARMC location 20355,38.475704,-1.322204
OSM location of Coimbra,38.4353536,-1.3275218
DARMC location 20242,37.540948,-4.373006
DARMC location 19806,38.899451,-3.053453
DARMC location 20961,37.786162,-3.612398
DARMC location 20433,38.94902,-2.353783
DARMC location 19566,38.093632,-3.636489
Barrington Atlas location,40.5,-1.5
DARMC location 19810,37.403784,-1.581155
OSM location of Ciudad Ibero Romana de Lucentum,38.36461817,-0.4388034628
DARMC location 29524,37.559338,-4.276541
DARMC location 19526,37.332285,-2.304901
OSM location of Río Vélez,36.77621371,-4.119212651
DARMC location 20458,36.77864,-4.100678
DARMC location 30460,39.889482,4.264116
DARMC location 19815,36.741931,-4.094288
DARMC location 20463,36.719658,-4.420163
Barrington Atlas location,36.5,-4.5
DARMC location 7590,38.547361,-2.92748
Barrington Atlas location,38.5,-4.5
DARMC location 19817,37.595765,-4.602629
DARMC location 20482,38.692191,-2.694845
DARMC location 20483,37.741633,-3.692715
DARMC location 29569,38.155628,-4.052078
DARMC location 20499,37.473348,-4.581713
DARMC location 20501,37.350654,-4.601944
DARMC location 19821,36.775074,-2.812733
DARMC location 20541,37.870867,-4.184754
DARMC location 20544,39.98188,-2.86232
Barrington Atlas location,39.5,-4.5
DARMC location 888,37.953182,-4.496471
DARMC location 19836,40.145946,-2.687313
Barrington Atlas location,38.5,-3.5
Barrington Atlas location,38.5,-3.5
"OSM location of Zuqueca, Granátula de Calatrava",38.7606439,-3.7256823
Barrington Atlas location,37.5,-2.5
DARMC location 893,37.848915,-3.560303
OSM location of Villa romana de Bruñel,37.8858685,-3.0794566
DARMC location 20844,39.389921,-3.210143
DARMC location 10907,39.569443,2.649993
DARMC location 19619,38.962484,-2.008396
DARMC location 21031,37.293649,-3.168573
Barrington Atlas location,38.5,0.5
DARMC location 3454,37.56834,-4.471493
OSM location of ciutat romana de Pollèntia,39.84859314,3.123058901
DARMC location 19856,36.840205,-2.467902
DARMC location 19858,39.165103,-0.255923
DARMC location 19422,37.95069,-3.540398
DARMC location 21047,38.618079,-2.806268
DARMC location 21048,39.852453,-0.158647
DARMC location 29424,37.431584,-2.686169
DARMC location 3496,38.088325,-0.724242
DARMC location 3498,40.189944,-0.651476
"OSM location of Villa Romana ""El Ruedo""",37.4430896,-4.0896184
DARMC location 3067,38.005797,-4.50716
DARMC location 3069,38.988847,-0.515639
Barrington Atlas location,38.5,-0.5
DARMC location 21086,39.680194,-0.278581
